"sample_size","Variables","Population_Parameter_Values","Sample_Statistic_Values","Absolute_Difference"
43,"Mean Weight:",162.157,160.579,1.578
43,"Mean Height:",67.187,67.505,0.318
43,"Mean Number of Classes:",3.481,3.628,0.147
44,"Proportion Male:",0.435,0.523,0.088
44,"Mean Age:",19.508,19.5,0.008
44,"Mean Weight:",162.157,160.207,1.95
44,"Mean Height:",67.187,67.495,0.308
44,"Mean Number of Classes:",3.481,3.591,0.11
45,"Proportion Male:",0.435,0.511,0.076
45,"Mean Age:",19.508,19.444,0.064
45,"Mean Weight:",162.157,160.584,1.573
45,"Mean Height:",67.187,67.316,0.129
45,"Mean Number of Classes:",3.481,3.556,0.075
46,"Proportion Male:",0.435,0.522,0.087
46,"Mean Age:",19.508,19.413,0.095
46,"Mean Weight:",162.157,160.674,1.483
46,"Mean Height:",67.187,67.417,0.23
46,"Mean Number of Classes:",3.481,3.543,0.062
47,"Proportion Male:",0.435,0.532,0.097
47,"Mean Age:",19.508,19.404,0.104
47,"Mean Weight:",162.157,160.453,1.704
47,"Mean Height:",67.187,67.53,0.343
47,"Mean Number of Classes:",3.481,3.532,0.051
48,"Proportion Male:",0.435,0.542,0.107
48,"Mean Age:",19.508,19.396,0.112
48,"Mean Weight:",162.157,161.412,0.745
48,"Mean Height:",67.187,67.471,0.284
48,"Mean Number of Classes:",3.481,3.583,0.102
49,"Proportion Male:",0.435,0.531,0.096
49,"Mean Age:",19.508,19.408,0.1
49,"Mean Weight:",162.157,160.435,1.722
49,"Mean Height:",67.187,67.461,0.274
49,"Mean Number of Classes:",3.481,3.551,0.07
50,"Proportion Male:",0.435,0.54,0.105
50,"Mean Age:",19.508,19.42,0.088
50,"Mean Weight:",162.157,161.178,0.979
50,"Mean Height:",67.187,67.448,0.261
50,"Mean Number of Classes:",3.481,3.54,0.059
51,"Proportion Male:",0.435,0.549,0.114
51,"Mean Age:",19.508,19.451,0.057
51,"Mean Weight:",162.157,161.822,0.335
51,"Mean Height:",67.187,67.561,0.374
51,"Mean Number of Classes:",3.481,3.51,0.029
52,"Proportion Male:",0.435,0.558,0.123
52,"Mean Age:",19.508,19.442,0.066
52,"Mean Weight:",162.157,163.235,1.078
52,"Mean Height:",67.187,67.465,0.278
52,"Mean Number of Classes:",3.481,3.5,0.019
53,"Proportion Male:",0.435,0.566,0.131
53,"Mean Age:",19.508,19.396,0.112
53,"Mean Weight:",162.157,163.811,1.654
53,"Mean Height:",67.187,67.525,0.338
53,"Mean Number of Classes:",3.481,3.472,0.009
54,"Proportion Male:",0.435,0.556,0.121
54,"Mean Age:",19.508,19.389,0.119
54,"Mean Weight:",162.157,163.811,1.654
54,"Mean Height:",67.187,67.52,0.333
54,"Mean Number of Classes:",3.481,3.444,0.037
55,"Proportion Male:",0.435,0.564,0.129
55,"Mean Age:",19.508,19.418,0.09
55,"Mean Weight:",162.157,164.565,2.408
55,"Mean Height:",67.187,67.62,0.433
55,"Mean Number of Classes:",3.481,3.418,0.063
56,"Proportion Male:",0.435,0.554,0.119
56,"Mean Age:",19.508,19.393,0.115
56,"Mean Weight:",162.157,163.816,1.659
56,"Mean Height:",67.187,67.438,0.251
56,"Mean Number of Classes:",3.481,3.393,0.088
57,"Proportion Male:",0.435,0.561,0.126
57,"Mean Age:",19.508,19.404,0.104
57,"Mean Weight:",162.157,164.954,2.797
57,"Mean Height:",67.187,67.537,0.35
57,"Mean Number of Classes:",3.481,3.386,0.095
58,"Proportion Male:",0.435,0.552,0.117
58,"Mean Age:",19.508,19.379,0.129
58,"Mean Weight:",162.157,165.062,2.905
58,"Mean Height:",67.187,67.49,0.303
58,"Mean Number of Classes:",3.481,3.379,0.102
59,"Proportion Male:",0.435,0.542,0.107
59,"Mean Age:",19.508,19.373,0.135
59,"Mean Weight:",162.157,165.395,3.238
59,"Mean Height:",67.187,67.454,0.267
59,"Mean Number of Classes:",3.481,3.373,0.108
60,"Proportion Male:",0.435,0.533,0.098
60,"Mean Age:",19.508,19.4,0.108
60,"Mean Weight:",162.157,165.093,2.936
60,"Mean Height:",67.187,67.373,0.186
60,"Mean Number of Classes:",3.481,3.417,0.064
61,"Proportion Male:",0.435,0.525,0.09
61,"Mean Age:",19.508,19.377,0.131
61,"Mean Weight:",162.157,164.933,2.776
61,"Mean Height:",67.187,67.444,0.257
61,"Mean Number of Classes:",3.481,3.393,0.088
62,"Proportion Male:",0.435,0.532,0.097
62,"Mean Age:",19.508,19.339,0.169
62,"Mean Weight:",162.157,164.881,2.724
62,"Mean Height:",67.187,67.534,0.347
62,"Mean Number of Classes:",3.481,3.387,0.094
63,"Proportion Male:",0.435,0.524,0.089
63,"Mean Age:",19.508,19.381,0.127
63,"Mean Weight:",162.157,163.817,1.66
63,"Mean Height:",67.187,67.511,0.324
63,"Mean Number of Classes:",3.481,3.381,0.1
64,"Proportion Male:",0.435,0.516,0.081
64,"Mean Age:",19.508,19.344,0.164
64,"Mean Weight:",162.157,162.928,0.771
64,"Mean Height:",67.187,67.466,0.279
64,"Mean Number of Classes:",3.481,3.406,0.075
65,"Proportion Male:",0.435,0.508,0.073
65,"Mean Age:",19.508,19.323,0.185
65,"Mean Weight:",162.157,163.114,0.957
65,"Mean Height:",67.187,67.488,0.301
65,"Mean Number of Classes:",3.481,3.385,0.096
66,"Proportion Male:",0.435,0.515,0.08
66,"Mean Age:",19.508,19.303,0.205
66,"Mean Weight:",162.157,163.07,0.913
66,"Mean Height:",67.187,67.594,0.407
66,"Mean Number of Classes:",3.481,3.364,0.117
67,"Proportion Male:",0.435,0.507,0.072
67,"Mean Age:",19.508,19.269,0.239
67,"Mean Weight:",162.157,163.237,1.08
67,"Mean Height:",67.187,67.643,0.456
67,"Mean Number of Classes:",3.481,3.343,0.138
68,"Proportion Male:",0.435,0.515,0.08
68,"Mean Age:",19.508,19.279,0.229
68,"Mean Weight:",162.157,164.113,1.956
68,"Mean Height:",67.187,67.794,0.607
68,"Mean Number of Classes:",3.481,3.353,0.128
69,"Proportion Male:",0.435,0.507,0.072
69,"Mean Age:",19.508,19.319,0.189
69,"Mean Weight:",162.157,163.826,1.669
69,"Mean Height:",67.187,67.745,0.558
69,"Mean Number of Classes:",3.481,3.377,0.104
70,"Proportion Male:",0.435,0.5,0.065
70,"Mean Age:",19.508,19.3,0.208
70,"Mean Weight:",162.157,163.001,0.844
70,"Mean Height:",67.187,67.69,0.503
70,"Mean Number of Classes:",3.481,3.386,0.095
71,"Proportion Male:",0.435,0.493,0.058
71,"Mean Age:",19.508,19.296,0.212
71,"Mean Weight:",162.157,163.092,0.935
71,"Mean Height:",67.187,67.687,0.5
71,"Mean Number of Classes:",3.481,3.38,0.101
72,"Proportion Male:",0.435,0.486,0.051
72,"Mean Age:",19.508,19.319,0.189
72,"Mean Weight:",162.157,162.571,0.414
72,"Mean Height:",67.187,67.703,0.516
72,"Mean Number of Classes:",3.481,3.375,0.106
73,"Proportion Male:",0.435,0.479,0.044
73,"Mean Age:",19.508,19.301,0.207
73,"Mean Weight:",162.157,162.156,0.001
73,"Mean Height:",67.187,67.704,0.517
73,"Mean Number of Classes:",3.481,3.37,0.111
74,"Proportion Male:",0.435,0.473,0.038
74,"Mean Age:",19.508,19.27,0.238
74,"Mean Weight:",162.157,162.541,0.384
74,"Mean Height:",67.187,67.645,0.458
74,"Mean Number of Classes:",3.481,3.392,0.089
75,"Proportion Male:",0.435,0.467,0.032
75,"Mean Age:",19.508,19.307,0.201
75,"Mean Weight:",162.157,162.881,0.724
75,"Mean Height:",67.187,67.623,0.436
75,"Mean Number of Classes:",3.481,3.387,0.094
76,"Proportion Male:",0.435,0.461,0.026
76,"Mean Age:",19.508,19.276,0.232
76,"Mean Weight:",162.157,163.274,1.117
76,"Mean Height:",67.187,67.614,0.427
76,"Mean Number of Classes:",3.481,3.368,0.113
77,"Proportion Male:",0.435,0.455,0.02
77,"Mean Age:",19.508,19.312,0.196
77,"Mean Weight:",162.157,163.226,1.069
77,"Mean Height:",67.187,67.59,0.403
77,"Mean Number of Classes:",3.481,3.377,0.104
78,"Proportion Male:",0.435,0.449,0.014
78,"Mean Age:",19.508,19.282,0.226
78,"Mean Weight:",162.157,162.723,0.566
78,"Mean Height:",67.187,67.553,0.366
78,"Mean Number of Classes:",3.481,3.359,0.122
79,"Proportion Male:",0.435,0.443,0.008
79,"Mean Age:",19.508,19.316,0.192
79,"Mean Weight:",162.157,162.271,0.114
79,"Mean Height:",67.187,67.494,0.307
79,"Mean Number of Classes:",3.481,3.354,0.127
80,"Proportion Male:",0.435,0.45,0.015
80,"Mean Age:",19.508,19.325,0.183
80,"Mean Weight:",162.157,162.787,0.63
80,"Mean Height:",67.187,67.534,0.347
80,"Mean Number of Classes:",3.481,3.35,0.131
81,"Proportion Male:",0.435,0.444,0.009
81,"Mean Age:",19.508,19.358,0.15
81,"Mean Weight:",162.157,162.344,0.187
81,"Mean Height:",67.187,67.547,0.36
81,"Mean Number of Classes:",3.481,3.37,0.111
82,"Proportion Male:",0.435,0.451,0.016
82,"Mean Age:",19.508,19.329,0.179
82,"Mean Weight:",162.157,162.689,0.532
82,"Mean Height:",67.187,67.604,0.417
82,"Mean Number of Classes:",3.481,3.402,0.079
83,"Proportion Male:",0.435,0.446,0.011
83,"Mean Age:",19.508,19.313,0.195
83,"Mean Weight:",162.157,161.847,0.31
83,"Mean Height:",67.187,67.607,0.42
83,"Mean Number of Classes:",3.481,3.398,0.083
84,"Proportion Male:",0.435,0.44,0.005
84,"Mean Age:",19.508,19.298,0.21
84,"Mean Weight:",162.157,161.651,0.506
84,"Mean Height:",67.187,67.494,0.307
84,"Mean Number of Classes:",3.481,3.393,0.088
85,"Proportion Male:",0.435,0.435,0
85,"Mean Age:",19.508,19.282,0.226
85,"Mean Weight:",162.157,160.9,1.257
85,"Mean Height:",67.187,67.525,0.338
85,"Mean Number of Classes:",3.481,3.4,0.081
86,"Proportion Male:",0.435,0.442,0.007
86,"Mean Age:",19.508,19.302,0.206
86,"Mean Weight:",162.157,161.441,0.716
86,"Mean Height:",67.187,67.535,0.348
86,"Mean Number of Classes:",3.481,3.43,0.051
87,"Proportion Male:",0.435,0.437,0.002
87,"Mean Age:",19.508,19.276,0.232
87,"Mean Weight:",162.157,160.914,1.243
87,"Mean Height:",67.187,67.607,0.42
87,"Mean Number of Classes:",3.481,3.448,0.033
88,"Proportion Male:",0.435,0.443,0.008
88,"Mean Age:",19.508,19.25,0.258
88,"Mean Weight:",162.157,161.244,0.913
88,"Mean Height:",67.187,67.589,0.402
88,"Mean Number of Classes:",3.481,3.432,0.049
89,"Proportion Male:",0.435,0.438,0.003
89,"Mean Age:",19.508,19.281,0.227
89,"Mean Weight:",162.157,161.115,1.042
89,"Mean Height:",67.187,67.552,0.365
89,"Mean Number of Classes:",3.481,3.427,0.054
90,"Proportion Male:",0.435,0.433,0.002
90,"Mean Age:",19.508,19.267,0.241
90,"Mean Weight:",162.157,161.099,1.058
90,"Mean Height:",67.187,67.577,0.39
90,"Mean Number of Classes:",3.481,3.422,0.059
91,"Proportion Male:",0.435,0.429,0.006
91,"Mean Age:",19.508,19.286,0.222
91,"Mean Weight:",162.157,160.858,1.299
91,"Mean Height:",67.187,67.542,0.355
91,"Mean Number of Classes:",3.481,3.451,0.03
92,"Proportion Male:",0.435,0.435,0
92,"Mean Age:",19.508,19.304,0.204
92,"Mean Weight:",162.157,161.526,0.631
92,"Mean Height:",67.187,67.613,0.426
92,"Mean Number of Classes:",3.481,3.446,0.035
93,"Proportion Male:",0.435,0.43,0.005
93,"Mean Age:",19.508,19.301,0.207
93,"Mean Weight:",162.157,161.001,1.156
93,"Mean Height:",67.187,67.623,0.436
93,"Mean Number of Classes:",3.481,3.43,0.051
94,"Proportion Male:",0.435,0.436,0.001
94,"Mean Age:",19.508,19.319,0.189
94,"Mean Weight:",162.157,161.523,0.634
94,"Mean Height:",67.187,67.654,0.467
94,"Mean Number of Classes:",3.481,3.415,0.066
95,"Proportion Male:",0.435,0.442,0.007
95,"Mean Age:",19.508,19.337,0.171
95,"Mean Weight:",162.157,161.839,0.318
95,"Mean Height:",67.187,67.701,0.514
95,"Mean Number of Classes:",3.481,3.432,0.049
96,"Proportion Male:",0.435,0.448,0.013
96,"Mean Age:",19.508,19.344,0.164
96,"Mean Weight:",162.157,162.519,0.362
96,"Mean Height:",67.187,67.829,0.642
96,"Mean Number of Classes:",3.481,3.438,0.043
97,"Proportion Male:",0.435,0.443,0.008
97,"Mean Age:",19.508,19.361,0.147
97,"Mean Weight:",162.157,161.94,0.217
97,"Mean Height:",67.187,67.784,0.597
97,"Mean Number of Classes:",3.481,3.433,0.048
98,"Proportion Male:",0.435,0.449,0.014
98,"Mean Age:",19.508,19.378,0.13
98,"Mean Weight:",162.157,162.522,0.365
98,"Mean Height:",67.187,67.698,0.511
98,"Mean Number of Classes:",3.481,3.418,0.063
99,"Proportion Male:",0.435,0.444,0.009
99,"Mean Age:",19.508,19.384,0.124
99,"Mean Weight:",162.157,162.134,0.023
99,"Mean Height:",67.187,67.692,0.505
99,"Mean Number of Classes:",3.481,3.404,0.077
100,"Proportion Male:",0.435,0.45,0.015
100,"Mean Age:",19.508,19.41,0.098
100,"Mean Weight:",162.157,162.835,0.678
100,"Mean Height:",67.187,67.73,0.543
100,"Mean Number of Classes:",3.481,3.39,0.091
101,"Proportion Male:",0.435,0.455,0.02
101,"Mean Age:",19.508,19.426,0.082
101,"Mean Weight:",162.157,163.379,1.222
101,"Mean Height:",67.187,67.763,0.576
101,"Mean Number of Classes:",3.481,3.386,0.095
102,"Proportion Male:",0.435,0.451,0.016
102,"Mean Age:",19.508,19.441,0.067
102,"Mean Weight:",162.157,162.99,0.833
102,"Mean Height:",67.187,67.768,0.581
102,"Mean Number of Classes:",3.481,3.402,0.079
103,"Proportion Male:",0.435,0.456,0.021
103,"Mean Age:",19.508,19.417,0.091
103,"Mean Weight:",162.157,163.474,1.317
103,"Mean Height:",67.187,67.822,0.635
103,"Mean Number of Classes:",3.481,3.398,0.083
104,"Proportion Male:",0.435,0.462,0.027
104,"Mean Age:",19.508,19.442,0.066
104,"Mean Weight:",162.157,163.728,1.571
104,"Mean Height:",67.187,67.808,0.621
104,"Mean Number of Classes:",3.481,3.385,0.096
105,"Proportion Male:",0.435,0.457,0.022
105,"Mean Age:",19.508,19.467,0.041
105,"Mean Weight:",162.157,163.494,1.337
105,"Mean Height:",67.187,67.821,0.634
105,"Mean Number of Classes:",3.481,3.419,0.062
106,"Proportion Male:",0.435,0.462,0.027
106,"Mean Age:",19.508,19.453,0.055
106,"Mean Weight:",162.157,163.785,1.628
106,"Mean Height:",67.187,67.824,0.637
106,"Mean Number of Classes:",3.481,3.406,0.075
107,"Proportion Male:",0.435,0.467,0.032
107,"Mean Age:",19.508,19.43,0.078
107,"Mean Weight:",162.157,163.509,1.352
107,"Mean Height:",67.187,67.868,0.681
107,"Mean Number of Classes:",3.481,3.402,0.079
108,"Proportion Male:",0.435,0.472,0.037
108,"Mean Age:",19.508,19.444,0.064
108,"Mean Weight:",162.157,164.231,2.074
108,"Mean Height:",67.187,67.969,0.782
108,"Mean Number of Classes:",3.481,3.417,0.064
109,"Proportion Male:",0.435,0.468,0.033
109,"Mean Age:",19.508,19.44,0.068
109,"Mean Weight:",162.157,164.152,1.995
109,"Mean Height:",67.187,67.905,0.718
109,"Mean Number of Classes:",3.481,3.404,0.077
110,"Proportion Male:",0.435,0.473,0.038
110,"Mean Age:",19.508,19.464,0.044
110,"Mean Weight:",162.157,164.191,2.034
110,"Mean Height:",67.187,67.964,0.777
110,"Mean Number of Classes:",3.481,3.427,0.054
111,"Proportion Male:",0.435,0.477,0.042
111,"Mean Age:",19.508,19.468,0.04
111,"Mean Weight:",162.157,164.555,2.398
111,"Mean Height:",67.187,67.993,0.806
111,"Mean Number of Classes:",3.481,3.432,0.049
112,"Proportion Male:",0.435,0.473,0.038
112,"Mean Age:",19.508,19.455,0.053
112,"Mean Weight:",162.157,164.365,2.208
112,"Mean Height:",67.187,67.921,0.734
112,"Mean Number of Classes:",3.481,3.446,0.035
113,"Proportion Male:",0.435,0.478,0.043
113,"Mean Age:",19.508,19.46,0.048
113,"Mean Weight:",162.157,163.91,1.753
113,"Mean Height:",67.187,67.91,0.723
113,"Mean Number of Classes:",3.481,3.451,0.03
114,"Proportion Male:",0.435,0.474,0.039
114,"Mean Age:",19.508,19.439,0.069
114,"Mean Weight:",162.157,163.732,1.575
114,"Mean Height:",67.187,67.92,0.733
114,"Mean Number of Classes:",3.481,3.474,0.007
115,"Proportion Male:",0.435,0.47,0.035
115,"Mean Age:",19.508,19.443,0.065
115,"Mean Weight:",162.157,163.462,1.305
115,"Mean Height:",67.187,67.894,0.707
115,"Mean Number of Classes:",3.481,3.461,0.02
116,"Proportion Male:",0.435,0.466,0.031
116,"Mean Age:",19.508,19.422,0.086
116,"Mean Weight:",162.157,163.054,0.897
116,"Mean Height:",67.187,67.886,0.699
116,"Mean Number of Classes:",3.481,3.457,0.024
117,"Proportion Male:",0.435,0.462,0.027
117,"Mean Age:",19.508,19.444,0.064
117,"Mean Weight:",162.157,163.24,1.083
117,"Mean Height:",67.187,67.853,0.666
117,"Mean Number of Classes:",3.481,3.47,0.011
118,"Proportion Male:",0.435,0.458,0.023
118,"Mean Age:",19.508,19.432,0.076
118,"Mean Weight:",162.157,163.439,1.282
118,"Mean Height:",67.187,67.827,0.64
118,"Mean Number of Classes:",3.481,3.466,0.015
119,"Proportion Male:",0.435,0.454,0.019
119,"Mean Age:",19.508,19.42,0.088
119,"Mean Weight:",162.157,162.855,0.698
119,"Mean Height:",67.187,67.783,0.596
119,"Mean Number of Classes:",3.481,3.479,0.002
120,"Proportion Male:",0.435,0.45,0.015
120,"Mean Age:",19.508,19.417,0.091
120,"Mean Weight:",162.157,162.425,0.268
120,"Mean Height:",67.187,67.769,0.582
120,"Mean Number of Classes:",3.481,3.492,0.011
