"sex","age","weight","height","classes"
"Female",22,129.3,64.4,2
"Male",21,266.7,73.8,4
"Male",20,228.7,73.1,3
"Female",22,158.7,63,2
"Female",19,105.1,64.6,3
"Female",21,166,74.3,2
"Female",18,144.8,64.5,4
"Male",17,136.9,66.8,2
"Female",20,143.9,66.9,5
"Male",21,247.9,73.1,6
"Male",20,134,71.5,2
"Male",17,107.2,80.6,5
"Female",19,131,72.2,4
"Female",19,107.6,61.2,5
"Male",22,138,66.1,4
"Female",19,152.7,62.2,4
"Female",18,174.3,69.9,5
"Male",22,207.9,63.8,2
"Female",18,130.7,61.4,3
"Male",21,202.3,75.3,3
"Female",22,117,59.7,4
"Male",18,204,65.9,2
"Female",19,155.6,66,5
"Female",22,151,65.9,2
"Male",18,231.1,69.5,3
"Female",18,127.7,68.7,7
"Male",21,122.8,71.6,7
"Female",21,163.8,63.8,3
"Male",19,147.2,68.3,3
"Male",18,144.2,70.3,2
"Male",17,200.3,71.7,4
"Female",22,157.7,68,3
"Male",18,151.7,67.8,4
"Female",21,148.8,68,6
"Male",22,138.3,74,4
"Male",20,238.2,65.3,2
"Female",20,130,66.1,6
"Male",22,184.1,69.7,4
"Female",17,151.1,70.9,3
"Female",20,131.2,66.6,6
"Male",19,216.6,71.6,3
"Female",19,91.1,68.8,3
"Male",18,193.2,69.7,2
"Female",18,197.7,63.8,3
"Female",21,132.9,60,2
"Male",21,118.7,72.3,4
"Female",21,203.4,68.2,6
"Female",18,110.5,60.4,7
"Female",17,158.4,65.1,6
"Male",20,137.5,71.2,4
"Female",18,134.2,69.8,6
"Female",17,127.7,61.2,7
"Male",17,109,65.1,3
"Female",18,151.1,68.8,2
"Male",19,146.5,62.2,5
"Female",22,196.9,65.4,2
"Male",19,209.5,71.4,3
"Male",22,143.4,78.8,2
"Male",20,110.1,73.6,5
"Female",19,105.2,70.1,4
"Male",19,202.8,72.4,3
"Male",19,191.5,73.2,4
"Male",22,144.1,66.4,2
"Female",20,97.4,67.6,3
"Female",21,179.6,67.7,3
"Female",18,162,65.8,2
"Male",17,176.1,73.9,6
"Female",22,135.5,56.7,2
"Male",17,222.5,70.5,6
"Male",20,204.6,64.5,2
"Male",22,175.3,71.5,3
"Female",21,154.2,64.7,6
"Female",21,131.7,68.9,6
"Female",21,133.6,62.6,3
"Male",17,221.8,66.3,2
"Male",17,168.1,68.3,5
"Female",17,172.5,67.3,6
"Male",20,193,75,2
"Male",18,217.1,61.6,2
"Female",22,176.2,64.4,5
"Male",18,134.8,63.8,5
"Female",20,146.8,63.6,3
"Female",18,156.8,61.9,4
"Female",20,161.4,58,2
"Female",19,165.4,67.2,4
"Male",17,209.2,68.6,7
"Female",22,160.9,65.7,3
"Male",18,218.4,72.2,3
"Male",22,174.5,69.7,3
"Female",21,133.8,64,2
"Female",21,141.9,57.1,4
"Male",17,172.2,72.6,4
"Female",17,139.8,62.7,2
"Male",18,128,71.7,7
"Female",20,141,64.7,4
"Female",19,119.1,63.3,2
"Female",20,179.7,65,3
"Female",17,190.9,68.7,6
"Female",19,103.8,68.6,4
"Male",20,203.9,70.6,4
"Female",21,161.5,61.7,4
"Male",18,187.8,77.7,2
"Female",21,115.4,69.2,3
"Male",18,213.3,72.1,5
"Female",18,170.1,65.2,4
"Female",19,108.4,68.5,5
"Male",18,138.6,70.6,4
"Female",19,179,70.5,4
"Male",19,168.4,66.5,3
"Female",22,134.9,70.2,2
"Female",17,122.1,64,3
"Female",20,166.5,67.9,4
"Male",22,202.3,70.2,2
"Male",17,150.7,66.4,2
"Female",18,172.2,63.3,3
"Male",18,149.4,66,3
"Female",18,125.6,67.6,5
"Female",20,149.9,69.6,2
"Female",19,145.8,70.9,3
"Female",18,101.8,61.4,5
"Male",22,253.4,68.4,2
"Male",18,152,64.2,5
"Male",19,190.1,76.8,3
"Male",18,171.4,69.7,5
"Female",18,176.2,67.2,2
"Female",18,161.4,65.8,7
"Female",18,109.1,58.6,2
"Female",22,152.3,62.2,2
"Male",22,178.5,72.4,3
"Male",21,148,73.4,6
"Male",21,167.5,71.7,2
"Female",18,112.5,68.2,2
"Male",20,225.7,70.5,3
"Female",19,182.3,64.9,4
"Male",18,141,63.7,4
"Male",18,108.7,60.2,5
"Female",20,185.5,66.8,3
"Male",21,172.4,70.9,3
"Female",22,159,65.8,4
"Female",22,231.2,64.1,2
"Female",17,135.9,66.9,3
"Male",17,198.9,70,2
"Female",20,145.1,62.1,4
"Female",19,133,63.8,4
"Female",21,143.1,66.6,2
"Female",20,119.6,65.9,3
"Male",17,231.6,63.9,5
"Female",20,138.2,66.9,2
"Female",19,165.4,58.9,4
"Male",18,169.7,74.5,4
"Female",21,150.9,68.3,4
"Male",18,247.8,69.2,3
"Male",21,174.6,72.1,5
"Male",19,173.2,72.1,5
"Male",17,146.3,70,5
"Female",20,141.6,63.3,6
"Male",21,156.3,67.8,4
"Male",20,181.6,67.2,2
"Female",20,126.3,61.1,3
"Male",17,159.3,70.5,5
"Female",19,144.4,62.6,2
"Female",21,109.5,64.3,2
"Male",20,129.4,67.2,5
"Male",19,212.8,61.4,2
"Male",20,152.5,68.4,3
"Female",22,110.7,64.1,3
"Female",19,157,66.1,3
"Male",22,166,64,3
"Female",21,130.9,65,2
"Female",18,111.7,58.3,3
"Male",21,180.1,68.9,4
"Female",19,154.2,63.5,2
"Female",19,172.7,61.1,4
"Female",19,123.2,63.6,3
"Female",17,117.1,63.5,2
"Female",18,147.4,68.1,7
"Female",17,124.2,56.6,2
"Male",22,211.8,62.4,5
"Male",18,174.9,67.6,3
"Male",18,185.6,67.3,2
"Female",17,150.8,68.7,4
"Female",19,206.6,65.6,7
"Female",17,98.2,67.8,5
"Male",21,206.8,70.1,3
"Male",22,155.7,70.2,4
"Female",22,117.8,68.5,3
"Male",18,225.9,68.5,3
"Female",19,152.8,64.7,4
"Female",19,162.1,69.2,3
"Female",19,109.5,65.7,4
"Male",21,235.8,76.8,3
"Male",21,154.4,66.6,4
"Female",20,154.8,62.5,2
"Male",18,174.5,69.8,2
"Female",17,106.9,64.6,5
"Male",19,193.1,62.6,3
"Female",17,125.5,62,2
"Female",19,131.1,61.3,3
"Female",18,114.3,65.6,5
"Female",18,112.1,63.8,4
"Male",20,260.2,68,5
"Male",19,167.1,66.8,2
"Male",22,171.6,76.9,7
"Male",20,175.2,72.7,5
"Male",19,134.1,70,2
"Female",17,171.1,62.1,2
"Female",20,110,59.6,3
"Female",17,145.7,60.3,4
"Female",17,110.3,70.7,2
"Female",17,186.1,58.4,3
"Female",21,117.1,68.8,3
"Female",19,142,63.2,2
"Female",22,105.6,63.6,3
"Female",22,112.2,65.1,2
"Male",20,134.2,65.2,3
"Female",17,191.1,63.2,3
"Female",19,133.8,65.6,3
"Female",22,140,61.5,2
"Female",18,112.2,64,3
"Female",17,159.4,57.1,2
"Female",19,179.1,64.9,3
"Female",22,178.5,64.2,2
"Male",20,222.9,77.3,5
"Female",17,137.4,67.6,5
"Male",17,135.4,68,2
"Female",21,184.8,67.3,3
"Female",22,146.4,68.8,4
"Male",21,105,73.2,2
"Female",18,124.3,68.4,5
"Female",17,195.7,61.7,3
"Female",17,147.9,65.4,3
"Male",19,128,71.1,3
"Male",22,210.9,72.6,2
"Female",21,123.3,62.7,2
"Female",20,147.3,68.2,2
"Male",22,212.8,69.3,2
"Male",21,245.4,65.9,3
"Female",17,178.8,65.4,4
"Female",22,164.5,66.6,5
"Male",17,235,73.6,2
"Male",17,214.5,75.8,3
"Female",21,164.8,64.5,2
"Male",20,243.2,69.1,2
"Female",22,169.3,60.5,3
"Male",17,159.6,64,4
"Male",21,138.9,63.6,3
"Female",17,200.9,66.6,3
"Female",17,135.1,65.1,4
"Female",19,154,59,3
"Male",17,197.1,70.3,3
"Female",18,136.2,59.5,3
"Female",20,124.3,58.5,2
"Female",19,125.8,67.6,3
"Male",19,140,60.5,5
"Female",17,107.8,63.5,7
"Female",20,91.3,69.7,4
"Male",18,178.2,60,2
"Male",18,190.8,71.3,3
"Female",22,180.9,75.2,5
"Male",19,117.4,72.1,3
"Male",17,197.2,67.4,3
"Male",21,161.4,69,2
"Female",21,122.1,63.4,2
"Female",20,220.1,66.7,5
"Male",22,114.3,74,2
"Female",21,118.1,72.9,4
"Female",22,114.2,58.8,7
"Male",19,200.8,71.6,5
"Female",21,109.5,73.6,3
"Female",20,181.8,67.1,6
"Female",18,194.4,63.1,5
"Male",20,236.7,67.4,3
"Female",18,182.6,67.1,4
"Female",19,158.6,59,6
"Male",21,144.9,69.4,3
"Female",19,185.5,66.3,2
"Male",21,111,70.8,7
"Male",21,156.5,70.4,3
"Female",18,133.3,59.7,2
"Female",21,167.4,62.8,2
"Female",22,153,63.7,4
"Male",17,203,68.8,4
"Female",21,145.7,64.1,3
"Female",22,136.7,57,6
"Male",19,252.4,75.9,6
"Male",21,210.6,65.6,3
"Female",21,132.2,62.1,4
"Female",22,138,67.2,2
"Female",20,145,68.8,3
"Male",20,257.4,73.6,6
"Male",20,151.4,68.5,2
"Male",17,197.3,65.6,4
"Male",19,243,65.2,2
"Female",20,153.1,66.2,2
"Female",18,158.8,67.1,5
"Male",19,232.8,70.3,2
"Female",19,119.1,68.6,2
"Female",19,132.2,67.5,4
"Female",21,185,64.9,2
"Female",21,116.1,70.7,4
"Male",20,225.2,68.9,2
"Female",18,111.2,63,3
"Female",17,142,61.4,3
"Male",20,163.4,66.2,4
"Male",19,186,72.1,4
"Male",19,142.8,66.5,2
"Female",21,135,63.2,4
"Female",17,131.7,65.3,4
"Female",18,150.9,65.5,3
"Male",21,214.2,75,5
"Female",22,181.5,61.4,4
"Female",22,202,66,3
"Male",22,192.6,70.7,2
"Male",19,243.9,77.7,2
"Female",19,197,64.3,4
"Male",21,258.5,69.5,5
"Female",21,163.3,68.8,6
"Male",18,192.4,72.9,4
"Male",22,221.1,70.8,3
"Female",17,175.3,64.9,5
"Male",19,175.5,67.3,4
"Male",20,189,75.3,4
"Male",21,145.7,61.3,3
"Female",17,128.9,56.4,6
"Female",18,147.3,60.9,4
"Female",20,132.5,66.5,2
"Female",20,123,69.1,3
"Female",19,148.9,62.8,2
"Male",20,161.6,68.5,2
"Female",17,140.6,57.7,2
"Male",21,137.3,66,3
"Male",19,243.9,71.5,2
"Female",18,144.5,67.4,2
"Female",18,153.5,64.3,2
"Male",22,137.4,69.2,6
"Male",19,145.6,66.2,6
"Female",18,103.9,58.3,4
"Female",19,173.2,60.6,2
"Female",22,171.9,65.8,5
"Female",17,147.1,68,3
"Female",22,167.8,65.1,5
"Female",22,125.4,71.1,2
"Female",18,156.4,68.8,3
"Female",22,115.3,60.5,4
"Male",18,199.2,70.8,3
"Female",20,147,65.1,3
"Female",18,180.2,66.4,6
"Male",19,179.5,66.4,6
"Male",22,256.6,71.6,3
"Female",18,144.7,61.1,3
"Male",22,143.7,63.6,5
"Male",22,116.8,71.2,4
"Female",20,146.5,63.2,3
"Female",20,147.1,67.2,3
"Female",19,94.3,69.5,6
"Male",20,227.7,65.6,4
"Female",20,156.4,68,4
"Female",20,114.1,63.9,2
"Female",22,177.1,68,3
"Female",19,152.6,60.3,5
"Male",18,193.6,72.6,2
"Female",21,175.8,69.3,2
"Male",22,256.7,69.7,5
"Male",21,213.3,66.8,3
"Female",20,118.2,68.4,3
"Female",21,130.8,61.1,4
"Female",17,121.4,61.5,6
"Male",22,228.1,67.7,4
"Male",20,112.1,69.7,5
"Male",20,172.6,69.1,3
"Female",19,124.6,67.4,3
"Female",22,146.6,67.5,4
"Male",22,150.9,64.2,3
"Female",21,135.3,65.2,2
"Male",22,200.6,67.4,2
"Female",20,171.3,60.7,2
"Male",22,155.6,69.4,6
"Female",17,96.1,62.4,3
"Female",21,105.4,68.3,4
"Male",19,153.5,71.7,3
"Male",19,217.4,72.8,7
"Female",21,138.4,71.8,6
"Male",20,227.9,64.3,2
"Female",20,191,70.8,4
"Male",20,160.7,65.6,2
"Male",20,262.9,74.7,2
"Female",20,138.3,64.1,2
"Female",19,164,64.8,7
"Male",20,217.8,69.9,4
"Male",18,226.2,59.9,4
"Female",17,162.4,60.3,2
"Female",18,151.4,67.5,4
"Female",18,127,63.3,3
"Female",20,141.1,64.7,3
"Female",18,160.1,65.2,4
"Male",19,245.6,72,5
"Male",21,298.3,69.2,7
"Male",21,200.6,73.2,2
"Male",18,206.5,67.8,4
"Female",22,167.3,69.2,2
"Female",21,143.7,62.7,3
"Female",17,112.7,59.1,3
"Female",20,127.5,62.1,3
"Male",18,114.8,62.3,3
"Female",17,149.5,61.8,5
"Female",22,207,73.3,4
"Female",17,102.3,63.2,2
"Female",19,195,64.9,3
"Female",18,182.9,63,3
"Female",18,127.1,68.4,2
"Female",19,138.2,61.8,4
"Female",18,147.1,59.8,2
"Female",17,141.4,60.3,4
"Female",17,166.6,63.6,3
"Female",22,135.8,69.1,6
"Male",19,159.7,71.7,2
"Female",22,135.3,62.8,4
"Female",22,154.5,67.1,5
"Male",17,133.7,71.1,4
"Female",19,135.4,69.2,4
"Female",21,163.6,68.9,3
"Male",21,115.3,74,5
"Male",19,232.9,68.9,2
"Male",18,185.6,67.1,2
"Female",19,134,62.6,4
"Female",17,131.7,65,3
"Female",17,122.6,68.1,2
"Male",22,139.9,68.4,7
"Female",20,168.3,68.5,5
"Male",20,197.9,67.2,3
"Female",21,118.5,67.6,2
"Male",19,243.5,65.5,5
"Male",17,289.3,71.8,2
"Female",18,144.6,68.8,2
"Male",22,234.7,63.7,7
"Female",20,147.8,69,3
"Male",21,143.8,74.5,2
"Female",21,156.7,67.2,5
"Male",17,144.9,70.8,4
"Male",18,124.6,66,2
"Male",21,165.6,61.6,4
"Female",17,183,60.4,4
"Male",18,166.5,68.4,2
"Female",18,147.1,68.9,5
"Female",22,138.1,66.3,4
"Male",20,148.5,64.8,3
"Female",18,163.4,61.6,3
"Male",19,163.2,71.3,3
"Male",17,149,73,2
"Female",21,126.2,60,3
"Female",20,150.1,73.5,3
"Female",20,137.1,64.7,3
"Male",17,147.4,72.3,5
"Male",22,214.5,70.4,5
"Male",17,220.3,74.2,6
"Male",17,284.8,67.7,2
"Female",19,139.6,68.7,3
"Male",17,234.7,77,5
"Female",19,103.3,69.5,4
"Male",21,192.4,69.6,4
"Male",21,202.4,75.1,2
"Male",21,170.5,78.5,4
"Female",18,125.4,65.1,2
"Female",17,99.9,69.8,3
"Female",19,152,66.7,4
"Female",21,174.8,69.2,5
"Male",22,213.5,72.2,6
"Male",18,161.9,67.3,5
"Female",19,122.5,66.4,4
"Female",19,139.8,63.5,4
"Female",19,158.2,64.1,4
"Male",22,226.7,79.4,2
"Male",21,210.1,67,4
"Male",22,128.2,61.9,3
"Male",18,197.7,69.2,2
"Female",21,125.9,64.6,3
"Male",21,185.1,75.5,4
"Male",19,144.8,76.8,3
"Female",22,180.6,65.6,2
"Male",22,179.1,70.9,2
"Female",20,145.5,67.8,4
"Male",22,175.1,70.2,2
"Female",18,132.7,73.5,2
"Female",17,199.6,57.5,5
"Male",18,230.7,68.8,3
"Female",19,141.7,63.4,3
"Female",20,115.8,68.3,4
"Male",22,145.7,72.2,2
"Male",22,221.4,68.9,3
"Female",22,124.9,63.3,3
"Male",20,177.4,71.5,3
"Female",22,121.1,69.6,2
"Female",22,182.5,68.3,3
"Male",21,224,68.8,2
"Female",22,122.7,64.1,4
"Male",18,220.3,72.9,3
"Female",21,191.8,67.5,2
"Female",20,115.8,65.1,3
"Male",17,231.4,67.1,2
"Female",20,132.3,61.9,2
"Male",17,180.2,69.5,2
"Male",22,155.3,72.6,4
"Male",21,211.9,78.6,2
"Male",17,171.6,72.4,2
"Male",21,137.8,75.4,4
"Male",17,220.5,71.7,3
"Male",18,148.1,62.9,2
"Male",17,202.8,72.5,3
"Female",19,181.6,69.5,6
"Male",21,176.8,71.2,3
"Male",22,233.7,73.3,6
"Male",22,188.5,72.3,6
"Female",21,140.1,71,6
"Male",17,162.8,74.4,2
"Female",20,169.4,58.5,3
"Male",22,177.7,69.8,4
"Female",19,199.9,66.8,4
"Female",22,146.3,68.2,4
"Female",20,129.9,67.1,3
"Female",18,138.5,63.4,3
"Female",22,154.9,68.9,4
"Male",21,224.3,66.1,3
"Female",18,155.4,62.1,3
"Male",17,184.9,63.6,2
"Male",17,161.9,69.6,2
"Female",17,135.5,67.6,4
"Male",17,218.4,69.6,2
"Male",17,196.5,68,4
"Female",18,118,61.9,2
"Female",18,116.7,65,4
"Female",20,182,70.5,4
"Male",18,243.5,71.9,4
"Male",17,166.7,65.9,3
"Female",19,162.1,64.1,3
"Male",17,134.1,68.8,4
"Male",17,209,75.1,6
"Male",19,174.8,69.7,2
"Male",17,262.4,71.1,5
"Male",19,177.5,75.4,2
"Female",20,147.9,61.3,5
"Female",20,177,59.5,2
"Female",18,205.1,58.9,5
"Male",19,213.1,69.4,4
"Male",17,219.2,71.8,2
"Male",18,203.8,65.2,5
"Male",20,125.8,64.4,4
"Female",21,102.5,66.8,3
"Male",21,168.8,73.9,2
"Male",18,151.1,67.9,3
"Female",19,147.5,67.2,3
"Male",18,211.2,65,4
"Female",21,181.8,64.5,5
"Female",18,126.4,58.2,2
"Female",21,169.2,59.5,5
"Female",21,118.9,70.8,3
"Female",18,166.7,61.9,5
"Female",20,138.2,66.2,4
"Male",19,155,69.1,5
"Male",17,224.9,66.2,2
"Female",19,150.7,62,3
"Male",19,178.4,68.6,5
"Female",18,104.5,67.9,4
"Female",21,163,66.1,3
"Female",22,178.5,57.4,3
"Male",20,136.8,68.9,3
"Male",22,181.4,70.7,3
"Male",17,219.6,64.9,2
"Female",20,108.9,58.5,5
"Female",21,103.2,63.3,6
"Female",19,109.6,63.9,5
"Female",21,177.3,67.1,3
"Male",19,225.3,73.4,2
